,City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Feature_PM2.5_PM10
0,Ahmedabad,2015-01-01,0.06839859451264399,0.13116017189982426,0.0023037935800952238,0.062328767123287665,0.044796781945460246,0.09138405872646771,0.005232921904328536,0.14633620689655172,0.5174220083811889,0.0,4.860031104199067e-05,0.0,0.07809311256979942,,0.19955876641246825
1,Ahmedabad,2015-01-02,0.06839859451264399,0.13116017189982426,0.0024317821123227357,0.05366438356164383,0.04299446243861666,0.09138405872646771,0.005517319833911609,0.12968749999999998,0.13212013037404938,0.009390629784627949,0.013365085536547434,0.027428155692979267,0.07809311256979942,,0.19955876641246825
2,Ahmedabad,2015-01-03,0.06839859451264399,0.13116017189982426,0.04448881380228331,0.06602739726027397,0.07757810051196323,0.09138405872646771,0.09897047949490927,0.15404094827586204,0.11908272543846034,0.017352250688986427,0.039852255054432344,0.016369588941433248,0.07809311256979942,,0.19955876641246825
3,Ahmedabad,2015-01-04,0.06839859451264399,0.13116017189982426,0.004300414682844417,0.06321917808219178,0.04693866889562219,0.09138405872646771,0.009669529605824468,0.09757543103448274,0.13995809405556417,0.011304480963560274,0.024640357698289272,0.007275372862859222,0.07809311256979942,,0.19955876641246825
4,Ahmedabad,2015-01-05,0.06839859451264399,0.13116017189982426,0.056519735831669485,0.07328767123287672,0.0986312819977014,0.09138405872646771,0.1257038848757181,0.20932112068965514,0.1524910755859072,0.017888129019087477,0.04590299377916019,0.020225536558748636,0.07809311256979942,,0.19955876641246825
5,Ahmedabad,2015-01-06,0.06839859451264399,0.13116017189982426,0.11618798955613575,0.13171232876712327,0.21288266638804723,0.09138405872646771,0.2582901996473465,0.24396551724137927,0.18042837187645505,0.013830764519750944,0.026317068429237946,0.014041469625318298,0.07809311256979942,,0.19955876641246825
6,Ahmedabad,2015-01-07,0.06839859451264399,0.13116017189982426,0.2870526800798648,0.13904109589041094,0.3415787274057048,0.09138405872646771,0.6379614356407485,0.1713362068965517,0.12983082415024058,0.0,0.0,0.0,0.07809311256979942,,0.19955876641246825
7,Ahmedabad,2015-01-08,0.06839859451264399,0.13116017189982426,0.20695745661188758,0.12575342465753425,0.2527165395465469,0.09138405872646771,0.4599852113076617,0.20506465517241376,0.12370013968648144,0.0,0.0,0.0,0.07809311256979942,,0.19955876641246825
8,Ahmedabad,2015-01-09,0.06839859451264399,0.13116017189982426,0.07459171658219423,0.1060958904109589,0.12537874830216278,0.09138405872646771,0.16586087253284795,0.3135775862068965,0.09987583423870867,0.0,0.0,0.0,0.07809311256979942,,0.19955876641246825
9,Ahmedabad,2015-01-10,0.06839859451264399,0.13116017189982426,0.04271322663272567,0.024041095890410955,0.0,0.09138405872646771,0.023129927251206057,0.04207974137931034,0.01761601738320658,0.0,0.0,0.0,0.07809311256979942,,0.19955876641246825
10,Ahmedabad,2015-01-11,0.06839859451264399,0.13116017189982426,0.33801771361286026,0.19102739726027396,0.06407376449691778,0.09138405872646771,0.751208691200728,0.1322737068965517,0.026307620673599253,0.0,0.0,0.0,0.07809311256979942,,0.19955876641246825
11,Ahmedabad,2015-01-12,0.06839859451264399,0.13116017189982426,0.13315926892950392,0.13921232876712328,0.23571204680806604,0.09138405872646771,0.296001365110062,0.2767241379310345,0.17802266025143568,0.006149841788302543,7.2900466562986e-05,0.05732993815933067,0.07809311256979942,,0.19955876641246825
12,Ahmedabad,2015-01-13,0.06839859451264399,0.13116017189982426,0.1249168074540521,0.15130136986301368,0.22748406645073663,0.09138405872646771,0.27768613844491213,0.36492456896551717,0.1363883284184386,0.02411452485454731,0.03244070762052877,0.09094216078574027,0.07809311256979942,,0.19955876641246825
13,Ahmedabad,2015-01-14,0.06839859451264399,0.13116017189982426,0.04909640096247376,0.09534246575342466,0.08632849232055166,0.09138405872646771,0.10920880495989989,0.2810883620689655,0.08128977184541362,0.0055118913953251004,0.005491835147744945,0.03775918515823937,0.07809311256979942,,0.19955876641246825
14,Ahmedabad,2015-01-15,0.06839859451264399,0.13116017189982426,0.0014846669738391438,0.05801369863013699,0.04336015045449797,0.09138405872646771,0.0034127751549968715,0.15307112068965514,0.1847741735216514,0.0003572522200673676,9.720062208398134e-05,0.00982175336485995,0.07809311256979942,,0.19955876641246825
15,Ahmedabad,2015-01-16,0.06839859451264399,0.13116017189982426,0.0041212307377258995,0.07431506849315068,0.05971162887890503,0.09138405872646771,0.009271372504408166,0.20360991379310345,0.1785658854570852,0.0008931305501684189,0.00012150077760497668,0.014623499454347034,0.07809311256979942,,0.19955876641246825
16,Ahmedabad,2015-01-17,0.06839859451264399,0.13116017189982426,0.02923258076076383,0.08462328767123288,0.09076898965625327,0.09138405872646771,0.06507024628860701,0.2641163793103448,0.20266180350768276,0.0017352250688986426,0.0,0.023790469261549655,0.07809311256979942,,0.19955876641246825
17,Ahmedabad,2015-01-18,0.06839859451264399,0.13116017189982426,0.015563405518865508,0.08818493150684932,0.07723853306864487,0.09138405872646771,0.03469654740913486,0.2583512931034483,0.20751202855812512,0.0018883331632132286,0.000510303265940902,0.02000727537286286,0.07809311256979942,,0.19955876641246825
18,Ahmedabad,2015-01-19,0.06839859451264399,0.13116017189982426,0.006373828904930118,0.09198630136986301,0.07170097168529935,0.09138405872646771,0.014276776065070244,0.2669719827586207,0.19195250659630606,0.0006634684086965398,4.860031104199067e-05,0.02037104401600582,0.07809311256979942,,0.19955876641246825
